Episode,Terminal State,Reward,Running Average
530,3 2,GOAL,1000000,287711.6245283019
531,2 2,GOAL,1000000,289053.0338983051
532,3 2,GOAL,1000000,290389.40037593985
533,5 1,GOAL,999997,291720.74671669793
534,4 3,STEPS,-1019,291172.5449438202
535,3 3,STEPS,-1019,290626.3925233645
536,5 2,STEPS,-1019,290082.2779850746
537,1 5,STEPS,-1019,289540.1899441341
538,3 3,STEPS,-1019,289000.11710037175
539,5 3,STEPS,-1019,288462.0482374768
540,1 5,STEPS,-1019,287925.97222222225
541,5 2,GOAL,999998,289242.1866913124
542,4 3,STEPS,-1019,288706.64944649447
543,1 3,STEPS,-1019,288173.0847145488
544,2 3,STEPS,-1019,287641.48161764705
545,5 2,GOAL,999998,288948.55779816513
546,4 5,STEPS,-1019,288417.48168498167
547,3 2,GOAL,1000000,289718.36380255944
548,2 3,STEPS,-1019,289187.82116788323
549,2 2,GOAL,1000000,290482.5610200364
550,5 5,STEPS,-1019,289952.55818181817
551,2 3,STEPS,-1019,289424.4791288566
552,5 3,STEPS,-1019,288898.3134057971
553,3 5,STEPS,-1019,288374.0506329114
554,2 2,GOAL,1000000,289658.5740072202
555,1 3,STEPS,-1019,289134.8306306306
556,3 1,GOAL,999999,290413.36330935254
557,4 3,STEPS,-1019,289890.14542190306
558,5 5,STEPS,-1019,289368.8028673835
559,1 2,GOAL,1000000,290640.0572450805
560,1 4,STEPS,-1019,290119.2375
561,4 1,GOAL,999998,291384.61853832443
562,5 1,GOAL,999997,292645.4946619217
563,1 1,GOAL,999999,293901.89520426287
564,4 1,GOAL,999998,295153.83865248226
565,2 5,STEPS,-1019,294629.6389380531
566,2 4,STEPS,-1019,294107.29151943466
567,5 2,GOAL,999998,295352.24867724866
568,3 1,GOAL,999999,296592.823943662
569,5 3,STEPS,-1019,296069.78031634446
570,5 4,STEPS,-1019,295548.57192982454
571,4 1,GOAL,999998,296782.2837127846
572,2 5,STEPS,-1019,296261.6520979021
573,2 5,STEPS,-1019,295742.8376963351
574,3 4,STEPS,-1019,295225.83101045294
575,4 4,STEPS,-1019,294710.62260869564
576,5 5,STEPS,-1019,294197.203125
577,5 2,GOAL,999998,295420.4280762565
578,5 1,GOAL,999997,296639.4186851211
579,1 3,STEPS,-1019,296125.3281519862
580,5 5,STEPS,-1019,295613.0103448276
581,2 3,STEPS,-1019,295102.4561101549
582,2 1,GOAL,999998,296313.616838488
583,3 5,STEPS,-1019,295803.6123499142
584,1 5,STEPS,-1019,295295.3544520548
585,1 4,STEPS,-1019,294788.8341880342
586,3 1,GOAL,999999,295992.26450511947
587,5 4,STEPS,-1019,295486.2827938671
588,2 2,GOAL,1000000,296684.43537414965
589,3 2,GOAL,1000000,297878.519524618
590,4 4,STEPS,-1019,297371.913559322
591,2 3,STEPS,-1019,296867.0219966159
592,2 1,GOAL,1000000,298054.7466216216
593,2 2,GOAL,1000000,299238.46543001686
594,3 2,GOAL,1000000,300418.19865319866
595,1 5,STEPS,-1019,299911.581512605
596,2 1,GOAL,999998,301086.2231543624
