Episode,Terminal State,Reward,Running Average
722,GOAL,999999,818194.5692520776
723,GOAL,999999,818446.0276625173
724,GOAL,999997,818696.7886740331
725,GOAL,999998,818946.8593103448
726,GOAL,999997,819196.2396694215
727,GOAL,999998,819444.9353507565
728,GOAL,999999,819692.9491758242
729,GOAL,999998,819940.2812071331
730,GOAL,1000000,820186.9383561644
731,GOAL,999998,820432.9179206566
732,GOAL,999997,820678.2240437159
733,GOAL,999996,820922.8594815825
734,GOAL,1000000,821166.8337874659
735,GOAL,999999,821410.1428571428
736,GOAL,999998,821652.789402174
737,GOAL,999999,821894.7788331072
738,BOUNDARY,-2003,820778.3861788618
739,GOAL,1000000,821020.9052774019
740,GOAL,999999,821262.7675675675
741,GOAL,999999,821503.9770580297
742,GOAL,999996,821744.5323450135
