Episode,Terminal State,Reward,Running Average
596,1 2,BOUNDARY,-2011,801639.5302013423
597,8 7,GOAL,999990,801971.7755443886
598,3 2,GOAL,1000000,802302.9264214047
599,1 6,GOAL,999996,802632.9649415693
600,9 7,GOAL,999989,802961.8916666667
601,8 9,GOAL,999988,803289.7221297837
602,7 7,GOAL,999991,803616.4684385383
603,1 7,GOAL,999995,803942.1376451078
604,3 5,GOAL,999997,804266.7317880795
605,7 8,GOAL,999990,804590.241322314
606,4 8,GOAL,999993,804912.6881188119
607,4 5,GOAL,999996,805234.0774299835
608,1 2,GOAL,1000000,805554.416118421
609,7 2,GOAL,999996,805873.696223317
610,7 1,GOAL,999995,806191.9278688525
611,4 1,GOAL,999998,806509.1227495908
612,8 8,GOAL,999989,806825.2663398692
613,1 1,GOAL,999997,807140.3915171289
614,1 3,GOAL,999999,807454.493485342
615,9 2,GOAL,999994,807767.5658536585
616,4 2,GOAL,999997,808079.6266233766
617,3 5,GOAL,999997,808390.6758508914
618,8 1,GOAL,999994,808700.713592233
